Country,Country Name,Country - RegionId,Country - Name_fr,Country - ParentKey,Country - SrcCode,Country - Source Note,Country - Source Note_fr,Goal,Indicator,Indicator Name,Indicator - Defenition and Data Source,Indicator - Defenition and Data Source_fr,Indicator - Goal Key,Social Group,Social Group Name,Scale,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2011
30,Malawi,MW,Malawi,87,MWI,"Regional member Country  Low income  Moderately indebted    National currency: Malawi kwacha  National accounts base year: 1994  SNA price valuation: VAfc  Latest population census: 1998  Latest demographic, household, or health survey: EdData, 2002",,Goal 1: Eradicate extreme poverty and hunger,20265105,Proportion of pop below  poverty line (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,54,,,,,,,,,,,"53,9",,,,,50,45,40,
22,Ghana,GH,Ghana,88,GHA,"Regional member Country  Low income  Moderately indebted    National currency: Ghanian cedi  National accounts base year: 1993  SNA price valuation: VAmkt  Latest population census: 2000  Latest demographic, household, or health survey: SPA, 2002; DHS, 20",,Goal 1: Eradicate extreme poverty and hunger,20265005,Proportion of pop below $1 PPP per day (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,,,"51,7",,,,,,,"39,6",,,,,,,"28,5",,,
3,Benin,BJ,Bénin,88,BEN,"Regional member Country  Low income  Moderately indebted    National currency: CFA franc  National accounts base year: 1985  SNA price valuation: VAfc  Latest population census: 2002  Latest demographic, household, or health survey: DHS, 2001",,Goal 1: Eradicate extreme poverty and hunger,20265705,Employment to population ratio 15-24 yrs (%),Employment of population aged 15-24 years,,1,20137105,Total,units,,,"64,3","66,2","66,1","65,9","65,6","65,3","64,8","64,3","63,8","63,2","62,6","62,1","61,5","60,9","60,3","59,8","59,3","58,9",
42,Seychelles,SC,Seychelles,85,SYC,"Regional member Country  Upper middle income  Less indebted    National currency: Seychelles rupee  National accounts base year: 1986  SNA price valuation: Vamkt, Latest population census: 2002",,Goal 1: Eradicate extreme poverty and hunger,20265205,Poverty gap ratio in (%),"Poverty gap is the mean shortfall of the total population from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",,1,20137105,Total,units,,,,,,,,,,,,"0,5",,,,,,,"0,5",,
24,Guinea-Bissau,GW,Guinée Bissau,88,GNB,"Regional member Country  Low income  Severely indebted    National currency: CFA franc  National accounts base year: 1986  SNA price valuation: VAfc  Latest population census: 1991  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265005,Proportion of pop below $1 PPP per day (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,26,,,,,,,,,,,,"20,8",,,22,"21,8","21,5","21,2",
49,Togo,TG,Togo,88,TGO,"Regional member Country  Low income  Severely indebted    National currency: CFA franc  National accounts base year: 1978  SNA price valuation: VAmkt  Latest population census: 1981  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20266005,Prevalence of underweight children under-five years of age  (%),Prevalence of (moderately and severely) underweight children is the percentage of children aged 0-59 months whose weights for age are less than two standard deviations below the median weight for age of the international reference population.,,1,20137105,Total,units,,,,,,,,,,"25,1",,,,,,,26,,,,
5,Burkina Faso,BF,Burkina Faso,88,BFA,"Regional member Country  Low income  Moderately indebted    National currency: CFA franc  National accounts base year: 1999  SNA price valuation: VAbp  Latest population census: 1996  Latest demographic, household, or health survey: DHS, 2003",,Goal 1: Eradicate extreme poverty and hunger,20266005,Prevalence of underweight children under-five years of age  (%),Prevalence of (moderately and severely) underweight children is the percentage of children aged 0-59 months whose weights for age are less than two standard deviations below the median weight for age of the international reference population.,,1,20137105,Total,units,,,,,,,,,,,,"44,4",,,,,,,,"42,2",
25,Kenya,KE,Kenya,85,KEN,"Regional member Country  Low income  Moderately indebted    National currency: Kenya shilling  National accounts base year: 2001  SNA price valuation: Vabp 1993SNA  Latest population census: 1999  Latest demographic, household, or health survey: DHS, 2003",,Goal 1: Eradicate extreme poverty and hunger,20265705,Employment to population ratio 15-24 yrs (%),Employment of population aged 15-24 years,,1,20137105,Total,units,,,"62,4","62,2",62,"61,8","61,6","61,4","61,2",61,"61,6","61,1","60,5",60,"59,6","59,3","59,2","59,2","58,8","58,7",
32,Mauritania,MR,Mauritanie,86,MRT,"Regional member Country  Low income  Moderately indebted    National currency: Mauritanian ouguiya  National accounts base year: 1985  SNA price valuation: VAfc  Latest population census: 2000  Latest demographic, household, or health survey: Special, 200",,Goal 1: Eradicate extreme poverty and hunger,20265805,Proportion of employed people living below $1 (PPP) per day,"The proportion of employed persons living below $1 (PPP) per day, or working poor, is the share of individuals who are employed, but nonetheless live in a household whose members are estimated to be living below the international poverty line of $1 (PPP)",,1,20137105,Total,units,,,,,,,,,,,,"21,2",,,,,,,,,
5,Burkina Faso,BF,Burkina Faso,88,BFA,"Regional member Country  Low income  Moderately indebted    National currency: CFA franc  National accounts base year: 1999  SNA price valuation: VAbp  Latest population census: 1996  Latest demographic, household, or health survey: DHS, 2003",,Goal 1: Eradicate extreme poverty and hunger,20265605,Employment-to-population ratio  (%),The employment-to-population ratio is the proportion of a country''s working-age population that is employed.,,1,20137105,Total,units,,,,,,,,,,,,,,,,,,,,"82,69",
34,Morocco,MA,Maroc,86,MAR,"Regional member Country Lower middle income  Moderately indebted    National currency: Moroccan dirham  National accounts base year: 1980  SNA price valuation: VAbp  Latest population census:, 2004  Latest demographic, household, or health survey:",,Goal 1: Eradicate extreme poverty and hunger,20265505,Growth rate of GDP per person employed  (%),Is the growth of GDP per person employed,,1,20137105,Total,units,,,,,,,,,,,"8,2",,,,,"2,3","4,3",,,,
51,Uganda,UG,Ouganda,85,UGA,"Regional member Country  Low income  Less indebted    National currency: Uganda shilling  National accounts base year: 1998  SNA price valuation: Vabp data on fiscal year basis  Latest population census: 2002  Latest demographic, household, or health surv",,Goal 1: Eradicate extreme poverty and hunger,20265305,Poverty gap ratio national poverty line in (%),"Poverty gap is the mean shortfall of the total population from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",,1,20137105,Total,units,,,,"30,33",,,,,,,"24,52",,,"22,67",,,"19,11",,,,
39,Rwanda,RW,Rwanda,85,RWA,"Regional member Country  Low income  Severely indebted    National currency: Rwanda franc  National accounts base year: 1995  SNA price valuation: VAmkt  Latest population census: 2002  Latest demographic, household, or health survey: SPA, 2001",,Goal 1: Eradicate extreme poverty and hunger,20265305,Poverty gap ratio national poverty line in (%),"Poverty gap is the mean shortfall of the total population from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",,1,20137105,Total,units,,,,,,,,,,,,"38,21","41,5",,,,40,40,,,
45,South Africa,ZA,Afrique du Sud,87,ZAF,"Regional member Country  Lower middle income  Less indebted    National currency: South African rand  National accounts base year: 2000  SNA price valuation: VAbp SNA93  Latest population census: 2001  Latest demographic, household, or health survey: DHS,",,Goal 1: Eradicate extreme poverty and hunger,20265305,Poverty gap ratio national poverty line in (%),"Poverty gap is the mean shortfall of the total population from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",,1,20137105,Total,units,,,,,,,,,,,,"8,18",,,,,,"2,3",,,
4,Botswana,BW,Botswana,87,BWA,"Regional member Country  Upper middle income  Less indebted    National currency: Botswana pula  National accounts base year: 1994  SNA price valuation: Vabp SNA93 data on fiscal yr basis  Latest population census: 2001  Latest demographic, household, or",,Goal 1: Eradicate extreme poverty and hunger,20265705,Employment to population ratio 15-24 yrs (%),Employment of population aged 15-24 years,,1,20137105,Total,units,,,"33,5","30,1","26,8",23,"22,5","22,1","28,6","35,9","34,8","33,7","29,9","27,8",26,"23,9","21,8","26,6","27,2","27,1",
10,Chad,TD,Tchad,84,TCD,"Regional member Country  Low income  Severely indebted    National currency: CFA franc  National accounts base year: 1995  SNA price valuation: VAbp  Latest population census: 1993  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20266105,Prevalence of underweight children under-five years of age Male / Female,Prevalence of (moderately and severely) underweight children is the percentage of children aged 0-59 months whose weights for age are less than two standard deviations below the median weight for age of the international reference population.,,1,20137105,Total,units,,,,,,,,,,,,"27,6",,,,,"26,7","26,3","26,1","26,1",
21,Gambia,GM,Gambie,88,GMB,"Regional member Country  Low income  Moderately indebted    National currency: Gambian dalasi  National accounts base year: 1977  SNA price valuation: VAfc  Latest population census: 2003  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265305,Poverty gap ratio national poverty line in (%),"Poverty gap is the mean shortfall of the total population from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",,1,20137105,Total,units,,"22,9",,,,,,,,,,,,,,,,"25,1",,,
50,Tunisia,TN,Tunisie,86,TUN,"Regional member Country Lower middle income  Moderately indebted    National currency: Tunisian dinar  National accounts base year: 1990  SNA price valuation: VAP  Latest population census: 2004 Latest demographic, household, or health survey:",,Goal 1: Eradicate extreme poverty and hunger,20265605,Employment-to-population ratio  (%),The employment-to-population ratio is the proportion of a country''s working-age population that is employed.,,1,20137105,Total,units,,,,,,,,,,,,,"40,7",,,,,,"41,2","41,4",
8,Cape Verde,CV,Cap Vert,88,CPV,"Regional member Country  Lower middle income  Less indebted    National currency: Cape Verde escudo  National accounts base year: 1980  SNA price valuation: Vamkt, Latest population census: 2000",,Goal 1: Eradicate extreme poverty and hunger,20265205,Poverty gap ratio in (%),"Poverty gap is the mean shortfall of the total population from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",,1,20137105,Total,units,,,,,,,,,,,,,,"13,3",,,,,"8,1",,
22,Ghana,GH,Ghana,88,GHA,"Regional member Country  Low income  Moderately indebted    National currency: Ghanian cedi  National accounts base year: 1993  SNA price valuation: VAmkt  Latest population census: 2000  Latest demographic, household, or health survey: SPA, 2002; DHS, 20",,Goal 1: Eradicate extreme poverty and hunger,20265705,Employment to population ratio 15-24 yrs (%),Employment of population aged 15-24 years,,1,20137105,Total,units,,,"40,4","40,7","41,3","41,8","42,4","43,1","43,7","44,4","44,5","45,1","44,2","43,3","42,3","41,3","40,4","39,4","40,3","39,9",
38,Nigeria,NG,Nigéria,88,NGA,"Regional member Country  Low income  Severely indebted    National currency: Nigerian naira  National accounts base year: 1990  SNA price valuation: VAfc  Latest population census:, 2006  Latest demographic, household, or health survey: DHS, 2003",,Goal 1: Eradicate extreme poverty and hunger,20266305,Proportion of population below minimum level of dietary energy consumption (%),"The proportion of the population below the minimum level of dietary energy consumption referred to as the prevalence of undernourishment, is the percentage of the population that is undernourished or food deprived.",,1,20137105,Total,units,,,,,,,,,,,,,,,,"34,9",,,,,
36,Namibia,NA,Namibie,87,NAM,"Regional member Country  Lower middle income  Debt not classified    National currency: Namibia dollar  National accounts base year: 1995  SNA price valuation: VAbp SNA93 Latest population census: 2001  Latest demographic, household, or health survey: DHS",,Goal 1: Eradicate extreme poverty and hunger,20265105,Proportion of pop below  poverty line (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,,,"56,4",,,,,,,"33,8",,,"38,8","37,7",,"31,1",,,,
34,Morocco,MA,Maroc,86,MAR,"Regional member Country Lower middle income  Moderately indebted    National currency: Moroccan dirham  National accounts base year: 1980  SNA price valuation: VAbp  Latest population census:, 2004  Latest demographic, household, or health survey:",,Goal 1: Eradicate extreme poverty and hunger,20265005,Proportion of pop below $1 PPP per day (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,"3,5",,,,,,,,,2,,,,,"0,6","0,56",,,,
